fold,epoch,train_accuracy,validation_accuracy,train_loss,validation_loss,test_accuracy,precision,recall,f1_score
1,1.0,0.962335051996854,0.977280671094023,0.11386953835445847,0.06497007503054578,,,,
1,2.0,0.9872411081010225,0.9741349178608877,0.04156163441697389,0.0678316359866707,,,,
1,3.0,0.9944070610853798,0.9877665152044739,0.017980747296337158,0.05211087021366667,,,,
2,1.0,0.9656558594774098,0.9790283117790981,0.1097674386734507,0.06431246454197934,,,,
2,2.0,0.9876780564537272,0.9811254806011883,0.035876172361448314,0.06017285614946269,,,,
2,3.0,0.9948440094380845,0.9888150996155189,0.015652604151859244,0.05617107056007641,,,,
3,1.0,0.9660928078301145,0.9804264243271583,0.11677421525337957,0.06007388839530681,,,,
3,2.0,0.9868915494188587,0.9842712338343236,0.04323870791735286,0.052922576503287064,,,,
3,3.0,0.9931836056978066,0.989514155889549,0.019701291381575912,0.05346973543437445,,,,
4,1.0,0.9618107139736084,0.9800768961901433,0.12635447527574603,0.06684776809841769,,,,
4,2.0,0.9847941973258761,0.9860188745193987,0.04914950919187987,0.04732518817601184,,,,
4,3.0,0.9921349296513153,0.9877665152044739,0.02732986803747019,0.041763903353982425,,,,
5,1.0,0.9640859839217056,0.9797202797202798,0.11622547207097132,0.07246167342797671,,,,
5,2.0,0.9876791331702202,0.9744755244755244,0.04063837550827315,0.07116817120545903,,,,
5,3.0,0.993883257602237,0.984965034965035,0.020009671722349513,0.07039195338609451,,,,
test,,,,,,0.9868568232662193,0.9864481789116212,0.9868568232662193,0.9863532008619825
